title,original_title,year,genre,duration,country,language,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
"False verità","Where the Truth Lies",2005,3,107,2,2,6.4,16886,25000000,872142,3487678,47,135,101
"Kiss Kiss Bang Bang","Kiss Kiss Bang Bang",2005,3,103,1,1,7.5,211456,15000000,4243756,15785148,72,383,235
"Halloween - The Beginning","Halloween",2007,1,109,1,1,6.1,107123,15000000,58272029,80460948,47,1172,349
"Harry Potter e l'Ordine della Fenice","Harry Potter and the Order of the Phoenix",2007,3,138,2,1,7.5,494073,150000000,292353413,942133343,71,1198,350
"The Honeymooners","The Honeymooners",2005,3,90,2,1,3.3,6957,25000000,12843849,13183426,31,73,43
"The Interpreter","The Interpreter",2005,3,128,4,4,6.4,96245,80000000,72708161,162944923,62,421,230
"Nomad - The Warrior","Köshpendiler",2005,3,112,3,2,5.9,3674,25000000,79123,3088685,49,34,28
"Open Water","Open Water",2003,3,79,1,1,5.7,50370,500000,30610863,54683487,63,958,234
"I guerrieri del cielo e della terra","Tian di ying xiong",2003,3,120,2,2,6.3,4049,10000000,82936,6106178,54,33,39
"Vita da strega","Bewitched",2005,3,102,1,2,4.8,67997,85000000,63313159,131426169,34,521,172
"Captivity","Captivity",2007,3,96,2,1,4.7,22412,17000000,2626800,10921200,24,209,146
"Che - Guerriglia","Che: Part Two",2008,3,135,3,2,6.9,31850,40000000,748555,8638162,64,64,174
"Incident at Loch Ness","Incident at Loch Ness",2004,3,94,1,1,6.5,3860,1400000,37493,37493,62,69,56
"Napoleon Dynamite","Napoleon Dynamite",2004,1,96,1,1,6.9,194951,400000,44540956,46138887,64,1555,217
"Sideways - In viaggio con Jack","Sideways",2004,3,127,2,2,7.5,177052,16000000,71503593,109706931,94,881,295
"Bobby Jones - Il genio del golf","Bobby Jones: Stroke of Genius",2004,3,120,1,1,6.7,3684,20000000,2694071,2707913,45,66,24
"Alfie","Alfie",2004,3,103,2,1,6.2,50110,60000000,13399812,35060882,49,159,137
"White Noise - Non ascoltate","White Noise",2005,3,101,3,1,5.5,46661,10000000,56386759,91196419,30,402,178
"Astro Boy","Astro Boy",2009,3,94,3,1,6.3,32542,65000000,19551067,39886986,53,83,139
"Crash: Contatto fisico","Crash",2004,3,112,2,5,7.7,415171,6500000,54580300,98410061,66,1691,295
"Striscia, una zebra alla riscossa","Racing Stripes",2005,3,102,1,1,5.2,15722,30000000,49772522,90754475,43,91,78
"Un allenatore in palla","Rebound",2005,3,86,1,1,5.2,12248,33100000,16809014,17492014,36,41,53
"The Rum Diary - Cronache di una passione","The Rum Diary",2011,2,119,2,3,6.2,97842,45000000,13109815,30134958,56,181,283
"Doppia ipotesi per un delitto","Slow Burn",2005,3,93,1,1,5.8,3684,15500000,1237615,1797256,34,28,39
"Closer","Closer",2004,2,104,2,1,7.2,199832,27000000,33987757,115505027,65,954,206
"Lo strangolatore","The Hillside Strangler",2004,3,98,1,1,5.3,1741,1400000,4143,4143,19,33,38
"Silver City","Silver City",2004,3,128,1,2,6,3813,5000000,1020656,1384395,47,77,50
"X-Men: Conflitto finale","X-Men: The Last Stand",2006,3,104,3,1,6.7,475426,210000000,234362462,460435291,58,1954,352
"Il volo della fenice","Flight of the Phoenix",2004,3,113,1,1,6.1,51109,45000000,21009180,35021497,47,224,119
"Mean Creek","Mean Creek",2004,2,90,1,1,7.2,30259,500000,603951,802948,74,164,124
"Mean Girls","Mean Girls",2004,1,97,2,4,7,324817,17000000,86058055,130125971,66,652,126
"Proof - La prova","Proof",2005,2,100,1,1,6.7,42614,20000000,7535331,14189860,64,193,137
"The Ring 2","The Ring Two",2005,2,110,1,1,5.4,90187,50000000,76231249,163995949,44,572,205
"Be Cool","Be Cool",2005,3,118,1,2,5.6,66612,53000000,56046979,95763716,37,327,165
"Un giorno senza messicani","A Day Without a Mexican",2004,3,100,3,2,4.7,3019,1500000,4179890,10057021,30,95,22
"Hazzard","The Dukes of Hazzard",2005,1,104,1,1,5.1,74804,50000000,80270227,111069515,33,633,148
"Gnomeo & Giulietta","Gnomeo & Juliet",2011,3,84,3,4,5.9,51582,36000000,99967670,193967670,53,127,209
"The Visual Bible: The Gospel of John","The Visual Bible: The Gospel of John",2003,3,180,2,1,7.7,3032,10000000,4069090,4078741,52,86,25
"Trappola in fondo al mare","Into the Blue",2005,3,110,1,1,5.9,72713,50000000,18801234,46117696,45,224,120
"Kill Bill - Volume 2","Kill Bill: Vol. 2",2004,3,137,1,4,8,668215,30000000,66208183,154116796,83,1028,309
"Machuca","Machuca",2004,3,116,4,2,7.7,10790,1500000,26676,3187700,76,45,56
"Maghi e viaggiatori","Travellers & Magicians",2003,2,108,3,1,7.4,2078,1800000,506793,696253,71,31,45
"Truman Capote - A sangue freddo","Capote",2005,3,114,2,1,7.3,123349,7000000,28750530,49327405,88,449,276
"Serenity","Serenity",2005,3,119,1,2,7.8,279887,39000000,25514517,40445129,74,1671,203
"In amore niente regole","Leatherheads",2008,3,114,2,2,6,30766,58000000,31373938,41319039,56,128,183
"Il mercante di Venezia","The Merchant of Venice",2004,2,131,4,3,7,34545,30000000,3765585,21560182,63,172,117
"Savage Grace","Savage Grace",2007,1,97,3,3,5.8,10590,4600000,435746,1432799,51,78,119
"Goal!","Goal!",2005,3,118,2,2,6.7,59626,10000000,4283255,27610873,53,122,95
"Amabili resti","The Lovely Bones",2009,3,135,3,1,6.7,154536,65000000,44114232,93621340,42,687,313
"Oliver Twist","Oliver Twist",2005,2,130,3,1,6.8,30619,60000000,2080321,42580321,65,138,124
"The Perfect Man","The Perfect Man",2005,3,100,1,1,5.5,27925,10000000,16535005,19770475,27,107,62
"Winter Passing","Winter Passing",2005,2,98,1,1,6.3,8071,3500000,107492,113783,56,58,53
"Casino Royale","Casino Royale",2006,3,144,5,5,8,569968,150000000,167445960,616501619,80,2409,350
"Pretty Persuasion","Pretty Persuasion",2005,2,110,1,1,6.5,9821,2500000,305800,537126,45,83,69
"Prima del tramonto","Before Sunset",2004,2,80,2,2,8,228858,2700000,5820649,15936507,90,551,240
"White Chicks","White Chicks",2004,2,109,1,1,5.6,127968,37000000,70831760,113100873,41,316,72
"Quel treno per Yuma","3:10 to Yuma",2007,3,122,1,2,7.7,284071,55000000,53606916,70016220,76,635,299
"Curioso come George","Curious George",2006,3,87,8,1,6.5,15234,50000000,58360760,69865924,62,126,90
"Nascosto nel buio","Hide and Seek",2005,3,101,2,1,6,80522,30000000,51100486,127369981,35,461,171
"Il codice da Vinci","The Da Vinci Code",2006,2,149,4,4,6.6,392810,125000000,217536138,760006945,46,2025,300
"Dark Water","Dark Water",2005,3,105,1,1,5.6,59001,30000000,25473352,68357079,52,434,203
"Ratatouille","Ratatouille",2007,3,111,1,2,8,624762,150000000,206445654,623726085,96,747,330
"Stealth - Arma suprema","Stealth",2005,3,121,1,4,5.1,51365,135000000,32116746,79268322,35,401,150
"I tre marmittoni","The Three Stooges",2012,2,92,1,1,5.1,29609,30000000,44338224,54819301,56,209,164
"Synecdoche, New York","Synecdoche, New York",2008,1,124,1,2,7.6,79732,20000000,3083538,4658401,67,329,249
"Zoom","Zoom",2006,3,93,1,1,4.4,18613,35000000,11989328,12506362,26,128,61
"La pantera rosa","The Pink Panther",2006,3,93,2,1,5.7,80280,80000000,82226474,164115897,38,450,150
"BloodRayne","BloodRayne",2005,3,95,2,1,2.9,33844,25000000,2405420,3650275,18,485,72
"Pirati dei Caraibi - La maledizione del forziere fantasma","Pirates of the Caribbean: Dead Man's Chest",2006,3,151,1,5,7.3,644330,225000000,423315812,1066179725,53,1889,323
"Il segreto di Vera Drake","Vera Drake",2004,2,125,2,1,7.6,23618,11000000,3775283,13267869,83,171,172
"Nickname: Enigmista","Cry Wolf",2005,3,90,1,1,5.8,25757,1000000,10047674,32586408,39,227,140
"Silent Hill","Silent Hill",2006,1,125,4,1,6.5,210865,50000000,46982632,100605135,31,1797,278
"Derby in famiglia","Kicking & Screaming",2005,3,95,1,2,5.6,35628,45000000,52842724,56070433,45,129,99
"The Weather Man - L'uomo delle previsioni","The Weather Man",2005,2,102,2,1,6.5,76767,22000000,12482775,19126398,61,335,152
"La contessa bianca","The White Countess",2005,3,135,4,4,6.6,6089,16000000,1669971,4092682,60,83,64
"Ammesso","Accepted",2006,1,93,1,1,6.4,121619,23000000,36323505,38623262,47,231,119
"Amityville Horror","The Amityville Horror",2005,1,90,1,1,6,103645,19000000,65233369,107516369,33,554,192
"The Dying Gaul","The Dying Gaul",2005,2,92,1,1,6.4,2309,4000000,342747,345041,62,57,45
"Lonesome Jim","Lonesome Jim",2005,2,91,1,1,6.6,7539,500000,154187,182378,54,54,81
"In Good Company","In Good Company",2004,3,109,1,1,6.4,53136,26000000,45806659,61315215,66,215,140
"Miss F.B.I. - Infiltrata speciale","Miss Congeniality 2: Armed & Fabulous",2005,3,115,1,1,5.1,68314,45000000,48478006,101393569,34,164,113
"La bussola d'oro","The Golden Compass",2007,3,113,2,4,6.1,176725,180000000,70107728,372234864,51,710,262
"Monster House","Monster House",2006,3,91,1,1,6.6,97611,75000000,73661010,141861243,68,276,188
"Motherless Brooklyn - I segreti di una città","Motherless Brooklyn",2019,3,144,1,2,6.8,34759,26000000,9277736,18477736,60,319,178
"My Big Fat Independent Movie","My Big Fat Independent Movie",2005,1,80,1,1,3.2,1295,3000000,4655,12155249,32,23,8
"Brothers of War - Sotto due bandiere","Taegukgi hwinalrimyeo",2004,3,140,1,1,8.1,37339,12800000,1111061,76459252,64,241,85
"Nel paese delle creature selvagge","Where the Wild Things Are",2009,3,101,3,1,6.7,99603,100000000,77233467,100140096,71,422,345
"The Legend of Zorro","The Legend of Zorro",2005,3,129,2,2,6,91465,75000000,46464023,142400065,47,255,132
"Hitch - Lui sì che capisce le donne","Hitch",2005,2,118,1,1,6.6,291792,70000000,179495555,371594210,58,411,161
"Renaissance","Renaissance",2006,3,105,3,2,6.7,15522,18000000,70644,1831348,57,96,103
"Parole d'amore","Bee Season",2005,2,104,2,2,5.5,6568,14000000,1180560,6856989,54,75,79
"The Constant Gardener - La cospirazione","The Constant Gardener",2005,3,129,6,4,7.4,130476,25000000,33579797,82466670,82,593,226
"Prime","Prime",2005,3,105,1,1,6.2,39316,22000000,22827153,67937494,58,202,125
"Saw - L'enigmista","Saw",2004,2,103,1,1,7.6,371979,1200000,56000369,103911669,46,1620,234
"Il figlio di Chucky","Seed of Chucky",2004,3,87,3,2,4.8,37840,12000000,17083732,24829644,46,247,163
"Black Dahlia","The Black Dahlia",2006,3,121,3,2,5.6,70639,50000000,22545080,49332692,49,664,248
"It's All Gone Pete Tong","It's All Gone Pete Tong",2004,3,90,2,1,7.3,19119,2000000,120620,1635056,56,69,54
"Alla scoperta di Charlie","King of California",2007,2,93,1,2,6.6,21912,10000000,268461,1045786,63,72,93
"King's Ransom","King's Ransom",2005,2,95,2,1,4.4,3569,15000000,4008527,4143652,11,21,23
"Malevolence","Malevolence",2004,3,90,1,1,5.1,3070,200000,127287,258782,43,119,66
"Fuga dal Natale","Christmas with the Kranks",2004,2,99,1,2,5.4,41002,60000000,73780539,96593018,22,267,113
"Transporter: Extreme","Transporter 2",2005,2,87,3,3,6.3,188667,32000000,43095856,89083229,56,357,170
"I segreti di Brokeback Mountain","Brokeback Mountain",2005,2,134,2,2,7.7,317082,14000000,83043761,178062759,87,2347,307
"Il più bel gioco della mia vita","The Greatest Game Ever Played",2005,3,120,2,1,7.4,27532,26000000,15337393,15431177,55,119,87
"Black Book","Zwartboek",2006,3,145,4,4,7.7,71558,21000000,4398532,26768563,71,251,238
"30 giorni di buio","30 Days of Night",2007,3,113,2,1,6.6,161844,30000000,39569000,75513170,53,582,302
"Bee Movie","Bee Movie",2007,3,91,2,1,6.1,138462,150000000,126631277,293514336,54,310,192
"Cambia la tua vita con un click","Click",2006,3,107,1,3,6.4,300363,82500000,137355633,240685326,45,783,181
"Friday Night Lights","Friday Night Lights",2004,3,118,2,1,7.2,58029,30000000,61255921,61950770,70,323,126
"Maria Full of Grace","Maria Full of Grace",2004,2,101,3,2,7.4,33667,3000000,6529624,12594630,87,179,161
"Primer","Primer",2004,3,77,1,2,6.9,96229,7000,424760,545436,68,462,134
"The Grudge","The Grudge",2004,3,91,2,2,5.9,137206,10000000,110359362,187281115,49,920,218
"I Want Someone to Eat Cheese With","I Want Someone to Eat Cheese With",2006,2,80,1,1,6.1,3197,1500000,194568,194568,60,28,31
"Sballati d'amore","A Lot Like Love",2005,3,107,1,2,6.6,66632,30000000,21845719,42886719,48,172,113
"Brick - Dose mortale","Brick",2005,3,110,1,1,7.3,99841,475000,2075743,3947579,72,514,201
"Coach Carter","Coach Carter",2005,3,136,2,1,7.3,123840,30000000,67264877,76669554,57,240,120
"Shaggy Dog - Papà che abbaia... non morde","The Shaggy Dog",2006,3,98,1,1,4.4,17990,50000000,61123569,87134280,43,88,80
"Hotel Rwanda","Hotel Rwanda",2004,3,121,3,3,8.1,329292,17500000,23530892,33882243,79,674,153
"The Producers - Una gaia commedia neonazista","The Producers",2005,3,134,1,1,6.3,40208,45000000,19398532,38075318,52,432,166
"Se proprio lo vuoi, lascialo andare","Catch and Release",2006,3,124,1,1,6,23582,25000000,15539051,16162580,43,121,106
"Forty Shades of Blue","Forty Shades of Blue",2005,3,108,1,1,6.2,1406,1500000,75828,172569,74,29,40
"La casa del diavolo","The Devil's Rejects",2005,1,107,2,2,6.8,91542,7000000,17044981,20901859,53,735,276
"Missione tata","The Pacifier",2005,3,95,2,2,5.6,86211,56000000,113086868,198636868,30,242,132
"North Country - Storia di Josey","North Country",2005,1,126,1,1,7.3,39086,35000000,18337722,25211175,68,218,158
"Profumo - Storia di un assassino","Perfume: The Story of a Murderer",2006,2,147,4,1,7.5,231194,60000000,2223293,135039924,56,560,227
"2 single a nozze","Wedding Crashers",2005,2,119,1,1,6.9,327881,40000000,209255921,288467645,64,671,186
"I Robinson - Una famiglia spaziale","Meet the Robinsons",2007,3,95,1,1,6.8,85515,150000000,97822171,169333034,61,176,175
"Il mio grasso grosso amico Albert","Fat Albert",2004,3,93,1,1,4.3,11114,26000000,48116322,48551322,39,92,61
"Nanny McPhee - Tata Matilda","Nanny McPhee",2005,3,97,3,1,6.5,66040,25000000,47144110,123276807,59,194,132
"Blood and Chocolate - La caccia al licantropo è aperta","Blood and Chocolate",2007,3,98,4,2,5.4,17086,15000000,3526847,6340723,33,197,104
"La maschera di cera","House of Wax",2005,2,113,2,1,5.3,113634,40000000,32064800,68766121,41,609,111
"Baciati dalla sfortuna","Just My Luck",2006,3,108,1,1,5.4,52962,28000000,17326650,38159905,29,154,102
"The Skeleton Key","The Skeleton Key",2005,3,104,2,2,6.5,104639,43000000,47907715,93983911,47,406,200
"8 amici da salvare","Eight Below",2006,3,120,1,1,7.3,59899,40000000,81612565,120455994,64,286,129
"Memorie di una geisha","Memoirs of a Geisha",2005,2,145,3,2,7.4,136390,85000000,57490508,162242962,54,581,228
"Bolt - Un eroe a quattro zampe","Bolt",2008,3,96,1,1,6.8,185896,150000000,114053579,309979994,67,215,231
"Derailed - Attrazione letale","Derailed",2005,3,108,2,2,6.6,70124,22000000,36024076,57479076,40,391,116
"Down in the Valley","Down in the Valley",2005,3,108,1,1,6.4,17757,8000000,568932,855009,65,114,70
"L'altra sporca ultima meta","The Longest Yard",2005,3,113,1,1,6.4,159468,82000000,158119460,191466556,48,337,139
"Rapunzel: L'intreccio della torre","Tangled",2010,3,100,1,1,7.7,396086,260000000,200821936,592461732,71,494,342
"Vizi di famiglia","Rumor Has It...",2005,3,97,3,2,5.5,52764,70000000,43000262,88933562,35,217,108
"Assault on Precinct 13","Assault on Precinct 13",2005,3,109,2,2,6.3,72684,30000000,20040895,35294470,54,232,72
"Un ponte per Terabithia","Bridge to Terabithia",2007,3,96,1,1,7.1,140410,17000000,82272442,137587063,74,565,188
"Cape of Good Hope","Cape of Good Hope",2004,3,107,2,3,6.8,264,3000000,26904,26904,59,7,17
"The Celestine Prophecy","The Celestine Prophecy",2006,2,99,1,1,4.9,3557,10000000,617236,1127463,23,72,19
"Clifford's Really Big Movie","Clifford's Really Big Movie",2004,3,74,1,1,5.4,756,70000,2922354,3255426,49,9,9
"DOA: Dead or Alive","DOA: Dead or Alive",2006,3,87,4,1,4.8,42784,21000000,480813,7563172,38,191,123
"Dorian Blues","Dorian Blues",2004,3,88,1,1,6.6,2327,185000,72234,72234,52,34,27
"Trade","Trade",2007,3,120,3,4,7.4,16682,12000000,214307,1465077,42,102,52
"A History of Violence","A History of Violence",2005,2,96,2,1,7.4,220412,32000000,31504633,61385065,81,1172,455
"The Island","The Island",2005,3,136,1,1,6.8,297368,126000000,35818913,162949164,50,954,266
"Lord of War","Lord of War",2005,3,122,3,8,7.6,289908,50000000,24149632,72617068,62,485,157
"The Man - La talpa","The Man",2005,3,83,2,1,5.6,24592,33000000,8330720,13485145,33,86,70
"La punta della lancia","End of the Spear",2005,3,108,1,2,6.8,4850,10000000,11967000,12128105,45,154,49
"Herbie - Il super maggiolino","Herbie Fully Loaded",2005,3,101,1,1,4.8,44419,50000000,66023816,144146816,47,179,119
"The Ice Harvest","The Ice Harvest",2005,3,92,1,1,6.3,22962,16000000,9016782,10156968,62,165,120
"Boog & Elliot a caccia di amici","Open Season",2006,3,86,1,1,6.1,84628,85000000,85105259,200811689,49,115,107
"Say Uncle","Say Uncle",2005,2,91,1,1,5.5,628,650000,5361,5361,31,26,2
"Un'ottima annata - A Good Year","A Good Year",2006,3,117,2,3,7,86962,35000000,7459300,42269923,47,228,140
"Brooklyn Lobster","Brooklyn Lobster",2005,2,94,1,3,6.3,433,200000,138267,138267,55,22,7
"Looking for Kitty","Looking for Kitty",2004,2,95,1,1,6,872,250000,4480,4480,43,13,20
"Paris, je t'aime","Paris, je t'aime",2006,3,120,5,5,7.2,69897,13000000,4899278,17471727,66,129,164
"John Carter","John Carter",2012,3,132,1,1,6.6,251828,250000000,73078100,284139100,51,897,439
"Sin City","Sin City",2005,2,124,1,1,8,733158,40000000,74103820,158733820,74,1780,386
"Tamara - Toccata dal fuoco","Tamara",2005,3,98,1,1,5.1,9672,3500000,206871,206871,34,103,65
"Underworld: Evolution","Underworld: Evolution",2006,3,106,2,3,6.7,187347,50000000,62318875,111476513,36,521,180
"Æon Flux","Æon Flux",2005,3,93,4,1,5.5,122927,62000000,25874337,53321673,36,559,70
"Un anno dopo","The Great New Wonderful",2005,3,87,1,3,5.7,1392,500000,150142,193968,57,38,18
"The New World - Il nuovo mondo","The New World",2005,3,135,2,3,6.7,81800,30000000,12712093,49334775,69,723,173
"Il nascondiglio del diavolo - The cave","The Cave",2005,3,97,3,2,5.1,34817,30000000,15007991,33296457,30,297,145
"Supercross","Supercross",2005,3,80,1,1,4.3,4330,16000000,3102550,3344431,26,41,40
"I guardiani della notte","Nochnoy dozor",2004,3,114,1,2,6.4,51876,4200000,1502188,50336279,58,317,235
"4 amiche e un paio di jeans","The Sisterhood of the Traveling Pants",2005,3,119,1,3,6.5,53201,25000000,39053061,42013878,66,228,90
"Youth in Revolt","Youth in Revolt",2009,3,90,1,3,6.4,71895,18000000,15281286,19651093,63,110,195
"Yu-Gi-Oh! The Movie","Yu-Gi-Oh! The Movie",2004,3,100,2,1,5,7839,20000000,19887556,29266490,15,67,42
"Ogni cosa è illuminata","Everything Is Illuminated",2005,2,106,1,3,7.4,56278,7000000,1712337,3601974,58,184,98
"The Exorcism of Emily Rose","The Exorcism of Emily Rose",2005,3,119,1,7,6.7,117192,19000000,75072454,145166804,46,557,246
"Little Children","Little Children",2006,3,137,1,1,7.5,104097,26000000,5463019,14821658,75,333,247
"Running","Running Scared",2006,3,122,2,3,7.4,96175,15000000,6855137,9380029,41,432,163
"Yo puta","Yo puta",2004,1,87,1,11,4.3,1614,6000000,5130,26018,26,27,10
"Le vite degli altri","Das Leben der Anderen",2006,3,137,2,1,8.4,349642,2000000,11286112,77356942,89,511,223
"Million Dollar Baby","Million Dollar Baby",2004,2,132,1,2,8.1,623282,30000000,100492203,216763646,86,1230,266
"A Scanner Darkly - Un oscuro scrutare","A Scanner Darkly",2006,3,100,1,1,7.1,105125,8700000,5501616,7659918,73,316,243
"Sky High - Scuola di superpoteri","Sky High",2005,3,100,1,2,6.2,77336,35000000,63946815,86369815,62,243,135
"Southland Tales - Così finisce il mondo","Southland Tales",2006,3,145,3,1,5.4,36783,17000000,275380,374743,44,260,189
"40 anni vergine","The 40 Year Old Virgin",2005,2,116,1,3,7.1,387842,26000000,109449237,177378645,73,591,189
"Uno zoo in fuga","The Wild",2006,3,95,2,1,5.3,23638,80000000,37384046,102338515,47,171,105
"Tutti gli uomini del re","All the King's Men",2006,2,128,2,1,6.2,23404,55000000,7221458,9451623,37,187,119
"Loggerheads","Loggerheads",2005,1,95,1,1,7.1,1628,500000,115314,115314,62,37,20
"The Prize Winner of Defiance, Ohio","The Prize Winner of Defiance, Ohio",2005,2,99,1,1,7.3,6996,12000000,627844,750212,58,83,50
"Shiza","Shiza",2004,3,86,4,1,7,971,1500000,54357,54357,64,11,22
"Zathura - Un'avventura spaziale","Zathura: A Space Adventure",2005,3,101,1,1,6.2,90965,65000000,29258869,65079104,67,236,132
"Kidnapped - Il rapimento","The Chumscrubber",2005,2,108,2,1,6.9,17859,6800000,52597,351401,41,137,75
"The Eye","The Eye",2008,3,98,2,2,5.4,50924,12000000,31418697,58010320,36,156,172
"The Guardian","The Guardian",2006,3,139,1,1,6.9,86282,70000000,55011732,94973540,53,288,140
"Winnie the Pooh e gli efelanti","Pooh's Heffalump Movie",2005,3,68,1,1,6.4,6302,20000000,18098433,52858433,64,32,45
"Transamerica","Transamerica",2005,3,103,1,2,7.4,40011,1000000,9015303,15151744,66,235,178
"La guerra dei mondi","War of the Worlds",2005,3,116,1,1,6.5,409066,132000000,234280354,603873119,73,2847,402
"Full Grown Men","Full Grown Men",2006,2,78,1,1,4.9,309,2000000,13716,13716,47,8,21
"The Departed - Il bene e il male","The Departed",2006,3,151,1,2,8.5,1159703,90000000,132384315,291465034,85,2340,289
"Sweeney Todd - Il diabolico barbiere di Fleet Street","Sweeney Todd: The Demon Barber of Fleet Street",2007,3,116,2,2,7.3,337635,50000000,52898073,153383627,83,841,383
"Munich","Munich",2005,3,164,3,9,7.5,208522,70000000,47403685,130982129,74,860,226
"Firewall - Accesso negato","Firewall",2006,2,105,1,1,5.8,55656,50000000,48751189,82751189,45,310,164
"Bad News Bears - Che botte se incontri gli orsi!","Bad News Bears",2005,2,113,1,2,5.8,20343,35000000,32868349,34252847,65,123,107
"Flightplan - Mistero in volo","Flightplan",2005,3,98,1,6,6.3,150163,55000000,89707299,223387299,53,625,227
"Lo spaccacuori","The Heartbreak Kid",2007,2,116,1,2,5.8,84805,60000000,36787257,128453183,46,223,165
"Kids in America","Kids in America",2005,1,91,1,1,5.7,2596,750000,537667,537667,38,35,14
"L'ultima vacanza","Last Holiday",2006,2,112,1,2,6.5,27913,45000000,38399961,43446924,52,130,93
"Ballroom Dancing","Marilyn Hotchkiss' Ballroom Dancing & Charm School",2005,3,103,1,1,6.6,2859,2500000,349132,410602,40,63,37
"Poseidon","Poseidon",2006,3,98,1,2,5.7,96734,160000000,60674817,181674817,50,675,232
"Bambole Russe","Les poupées russes",2005,3,125,2,5,7,19259,12500000,326095,23727301,67,49,75
"Surveillance","Surveillance",2008,3,97,3,1,6.3,16600,3500000,27349,1138322,31,132,146
"Watchmen","Watchmen",2009,3,162,1,1,7.6,491133,130000000,107509799,185382813,56,1405,485
"Cowboys & Aliens","Cowboys & Aliens",2011,3,119,2,2,6,204846,163000000,100240551,174822325,50,554,441
"I guardiani del giorno","Dnevnoy dozor",2006,3,132,1,1,6.5,33035,4200000,450897,42918532,59,123,160
"Hustle & Flow - Il colore della musica","Hustle & Flow",2005,3,116,1,1,7.3,38167,2800000,22202809,23563727,68,213,149
"La casa sul lago del tempo","The Lake House",2006,3,99,1,1,6.8,137599,40000000,52330111,114830111,52,596,186
"Alla ricerca dell'isola di Nim","Nim's Island",2008,3,96,1,1,6,32945,37000000,48006762,100104565,55,116,142
"Tideland - Il mondo capovolto","Tideland",2005,3,120,2,1,6.5,31412,19300000,66453,566611,26,203,145
"88 minuti","88 Minutes",2007,3,108,3,1,5.9,73525,30000000,17213467,32593385,17,278,150
"Downloading Nancy","Downloading Nancy",2008,2,102,3,1,5.8,2658,3000000,22282,22282,19,32,33
"Hellboy: The Golden Army","Hellboy II: The Golden Army",2008,3,120,3,2,7,252599,85000000,75986503,168319243,78,377,365
"Broken Flowers","Broken Flowers",2005,3,106,2,1,7.2,96903,10000000,13744960,47329961,79,531,231
"Indian - La grande sfida","The World's Fastest Indian",2005,3,127,3,1,7.8,51228,25000000,5128124,18297690,68,263,128
"Ritorno a Brideshead","Brideshead Revisited",2008,2,134,4,5,6.7,11990,20000000,6432256,13451186,64,105,132
"Delirious - Tutto è possibile","Delirious",2006,3,107,1,1,6.5,5893,5000000,86460,659589,68,22,48
"Lady Henderson presenta","Mrs Henderson Presents",2005,3,103,2,1,7,14981,20000000,11036366,27876417,71,184,139
"Un'impresa da Dio","Evan Almighty",2007,3,96,1,1,5.4,137414,175000000,100462298,174440724,37,290,189
"Shrek Terzo","Shrek the Third",2007,3,93,1,1,6.1,274290,160000000,322719944,813367380,58,366,215
"Spider-Man 3","Spider-Man 3",2007,3,139,1,2,6.2,489497,258000000,336530303,894983373,59,2068,421
"La tela di Carlotta","Charlotte's Web",2006,3,97,3,1,6.3,36300,85000000,82985708,148963822,68,116,117
"Elizabeth: The Golden Age","Elizabeth: The Golden Age",2007,3,114,4,3,6.8,66019,55000000,16383509,75782758,45,239,204
"Orgoglio e pregiudizio","Pride & Prejudice",2005,2,129,3,1,7.8,247664,28000000,38405088,121616555,82,1167,175
"Barnyard - Il cortile","Barnyard",2006,3,90,3,1,5.5,27116,51000000,72637803,116755080,42,177,101
"The Quiet - Segreti svelati","The Quiet",2005,3,96,1,2,6.2,15447,900000,381420,381420,29,105,59
"Final Destination 3","Final Destination 3",2006,2,93,1,1,5.8,128313,25000000,54098051,118890272,41,593,224
"L'albero della vita - The Fountain","The Fountain",2006,3,97,2,2,7.2,225202,35000000,10144010,16468343,51,986,288
"Ricky Bobby - La storia di un uomo che sapeva contare fino a uno","Talladega Nights: The Ballad of Ricky Bobby",2006,2,108,1,2,6.6,164356,72500000,148213377,163362095,66,478,166
"Hate Crime","Hate Crime",2005,3,104,1,1,6.3,1303,500000,40758,40758,41,42,15
"Hounddog","Hounddog",2007,2,102,1,1,6.3,5891,3750000,131961,131961,31,63,38
"Martian Child - Un bambino da amare","Martian Child",2007,3,106,1,1,6.8,19763,27000000,7500310,9411042,48,109,113
"Me and You and Everyone We Know","Me and You and Everyone We Know",2005,2,91,2,1,7.3,34614,2000000,3885134,8012838,76,255,155
"Mongol","Mongol",2007,3,126,4,2,7.2,44062,18000000,5705761,26527510,74,181,163
"La rivincita del campione","Resurrecting the Champ",2007,2,112,1,1,6.7,20004,13000000,3172573,3243611,55,64,107
"La vita segreta delle api","The Secret Life of Bees",2008,1,114,1,1,7.3,23935,11000000,37770162,39952437,57,144,101
"Spiderwick - Le cronache","The Spiderwick Chronicles",2008,3,96,1,1,6.5,86673,90000000,71195053,164170327,62,145,193
"Wolf Creek","Wolf Creek",2005,2,99,1,2,6.2,66639,1000000,16188180,30762648,54,731,309
"Match Point","Match Point",2005,3,124,5,1,7.6,203006,15000000,23151529,85638656,72,792,276
"300","300",2006,2,117,3,1,7.6,722519,65000000,210614939,456068181,52,2188,468
"Becoming Jane","Becoming Jane",2007,3,120,2,1,7.1,57292,16500000,18670946,37407812,55,160,147
